Chemical Name,CID,Quantity/kg,O/I,Additional Tags,Functional Group
Methanoic acid,284,,,,Acid
Ethanoic acid,176,,,,Acid
Sulfuric acid,1118,,,Catalyst: Esterification,Acid
Benzoic acid,243,,,,Acid
Hydrochloric acid,313,,,,Acid
Adipic acid,196,,,,Acid
Nitric acid,944,,,,Acid
Phosphoric acid,1004,,,,Acid
Hypochlorous acid,24341,,,,Acid
Alginic acid,6850754,,,,Acid
Periodic acid,65185,,,,Acid
Methanol,887,,,,Alcohol
Ethanol,702,,,,Alcohol
Propanol,1031,,,,Alcohol
Phenol,996,,,,Alcohol
Methane,,,,,Alkane
Ethane,,,,,Alkane
Propane,,,,,Alkane
Hexane,,,,,Alkane
Octane,,,,,Alkane
Decane,,,,,Alkane
Cyclohexane,,,,,Cycloalkane
Cyclopentane,,,,,
